Train samples: 11700
Val samples: 1300
============================================================
Training started at: 2025-12-25 04:06:36.129044
World size: 8 GPUs
Model params: 159,956,768
Batch size: 32 x 8 = 256 effective
Learning rate: 8.00e-04
Condition dropout: 0.1
Validation every 5 epochs
============================================================
Epoch   1 | Batch   18/44 | Loss 0.276084 | LR 8.00e-04 | Uncond: 2/19
Epoch   1 | Batch   19/44 | Loss 0.237425 | LR 8.00e-04 | Uncond: 2/20
Epoch   1 | Batch   20/44 | Loss 0.204435 | LR 8.00e-04 | Uncond: 3/21
Epoch   1 | Batch   21/44 | Loss 0.274259 | LR 8.00e-04 | Uncond: 4/22
Epoch   1 | Batch   22/44 | Loss 0.249197 | LR 8.00e-04 | Uncond: 4/23
Epoch   1 | Batch   23/44 | Loss 0.310858 | LR 8.00e-04 | Uncond: 4/24
Epoch   1 | Batch   24/44 | Loss 0.293939 | LR 8.00e-04 | Uncond: 4/25
Epoch   1 | Batch   25/44 | Loss 0.190784 | LR 8.00e-04 | Uncond: 4/26
Epoch   1 | Batch   26/44 | Loss 0.231688 | LR 8.00e-04 | Uncond: 4/27
Epoch   1 | Batch   27/44 | Loss 0.353614 | LR 8.00e-04 | Uncond: 4/28
Epoch   1 | Batch   28/44 | Loss 0.309763 | LR 8.00e-04 | Uncond: 4/29
Epoch   1 | Batch   29/44 | Loss 0.225963 | LR 8.00e-04 | Uncond: 5/30
Epoch   1 | Batch   30/44 | Loss 0.259002 | LR 8.00e-04 | Uncond: 5/31
Epoch   1 | Batch   31/44 | Loss 0.261887 | LR 8.00e-04 | Uncond: 5/32
Epoch   1 | Batch   32/44 | Loss 0.198105 | LR 8.00e-04 | Uncond: 5/33
Epoch   1 | Batch   33/44 | Loss 0.291428 | LR 8.00e-04 | Uncond: 5/34
Epoch   1 | Batch   34/44 | Loss 0.209301 | LR 8.00e-04 | Uncond: 5/35
Epoch   1 | Batch   35/44 | Loss 0.214125 | LR 8.00e-04 | Uncond: 5/36
Epoch   1 | Batch   36/44 | Loss 0.213511 | LR 8.00e-04 | Uncond: 5/37
Epoch   1 | Batch   37/44 | Loss 0.281894 | LR 8.00e-04 | Uncond: 5/38
Epoch   1 | Batch   38/44 | Loss 0.285839 | LR 8.00e-04 | Uncond: 5/39
Epoch   1 | Batch   39/44 | Loss 0.147841 | LR 8.00e-04 | Uncond: 5/40
Epoch   1 | Batch   40/44 | Loss 0.167194 | LR 8.00e-04 | Uncond: 5/41
Epoch   1 | Batch   41/44 | Loss 0.249737 | LR 8.00e-04 | Uncond: 6/42
Epoch   1 | Batch   42/44 | Loss 0.203776 | LR 8.00e-04 | Uncond: 6/43
Epoch   1 | Batch   43/44 | Loss 0.154296 | LR 8.00e-04 | Uncond: 7/44
Epoch   1 | Batch   44/44 | Loss 0.172380 | LR 8.00e-04 | Uncond: 7/45
>>> Epoch   1 Avg Train Loss: 0.262592
============================================================
Epoch   2 | Batch    0/44 | Loss 0.196118 | LR 8.00e-04 | Uncond: 0/1
Epoch   2 | Batch    1/44 | Loss 0.189429 | LR 8.00e-04 | Uncond: 0/2
Epoch   2 | Batch    2/44 | Loss 0.218668 | LR 8.00e-04 | Uncond: 0/3
Epoch   2 | Batch    3/44 | Loss 0.157732 | LR 8.00e-04 | Uncond: 1/4
Epoch   2 | Batch    4/44 | Loss 0.226921 | LR 8.00e-04 | Uncond: 1/5
Epoch   2 | Batch    5/44 | Loss 0.184932 | LR 8.00e-04 | Uncond: 1/6
Epoch   2 | Batch    6/44 | Loss 0.194945 | LR 8.00e-04 | Uncond: 1/7
Epoch   2 | Batch    7/44 | Loss 0.229383 | LR 8.00e-04 | Uncond: 1/8
Epoch   2 | Batch    8/44 | Loss 0.194684 | LR 8.00e-04 | Uncond: 1/9
Epoch   2 | Batch    9/44 | Loss 0.178480 | LR 8.00e-04 | Uncond: 2/10
Epoch   2 | Batch   10/44 | Loss 0.233062 | LR 8.00e-04 | Uncond: 2/11
Epoch   2 | Batch   11/44 | Loss 0.212199 | LR 8.00e-04 | Uncond: 2/12
Epoch   2 | Batch   12/44 | Loss 0.136066 | LR 8.00e-04 | Uncond: 2/13
Epoch   2 | Batch   13/44 | Loss 0.196079 | LR 8.00e-04 | Uncond: 2/14
Epoch   2 | Batch   14/44 | Loss 0.220393 | LR 8.00e-04 | Uncond: 2/15
Epoch   2 | Batch   15/44 | Loss 0.226228 | LR 8.00e-04 | Uncond: 2/16
Epoch   2 | Batch   16/44 | Loss 0.194692 | LR 8.00e-04 | Uncond: 2/17
Epoch   2 | Batch   17/44 | Loss 0.197010 | LR 8.00e-04 | Uncond: 2/18
Epoch   2 | Batch   18/44 | Loss 0.207831 | LR 8.00e-04 | Uncond: 2/19
Epoch   2 | Batch   19/44 | Loss 0.158955 | LR 8.00e-04 | Uncond: 2/20
Epoch   2 | Batch   20/44 | Loss 0.133700 | LR 8.00e-04 | Uncond: 2/21
Epoch   2 | Batch   21/44 | Loss 0.201389 | LR 8.00e-04 | Uncond: 2/22
Epoch   2 | Batch   22/44 | Loss 0.186520 | LR 8.00e-04 | Uncond: 2/23
Epoch   2 | Batch   23/44 | Loss 0.224982 | LR 8.00e-04 | Uncond: 2/24
Epoch   2 | Batch   24/44 | Loss 0.244273 | LR 8.00e-04 | Uncond: 2/25
Epoch   2 | Batch   25/44 | Loss 0.192426 | LR 8.00e-04 | Uncond: 2/26
Epoch   2 | Batch   26/44 | Loss 0.246798 | LR 8.00e-04 | Uncond: 2/27
Epoch   2 | Batch   27/44 | Loss 0.179565 | LR 8.00e-04 | Uncond: 2/28
Epoch   2 | Batch   28/44 | Loss 0.183680 | LR 8.00e-04 | Uncond: 2/29
Epoch   2 | Batch   29/44 | Loss 0.166460 | LR 8.00e-04 | Uncond: 2/30
Epoch   2 | Batch   30/44 | Loss 0.168970 | LR 8.00e-04 | Uncond: 2/31
Epoch   2 | Batch   31/44 | Loss 0.262044 | LR 8.00e-04 | Uncond: 2/32
Epoch   2 | Batch   32/44 | Loss 0.201357 | LR 8.00e-04 | Uncond: 2/33
Epoch   2 | Batch   33/44 | Loss 0.175222 | LR 8.00e-04 | Uncond: 2/34
Epoch   2 | Batch   34/44 | Loss 0.166402 | LR 8.00e-04 | Uncond: 2/35
Epoch   2 | Batch   35/44 | Loss 0.148676 | LR 8.00e-04 | Uncond: 2/36
Epoch   2 | Batch   36/44 | Loss 0.219356 | LR 8.00e-04 | Uncond: 2/37
Epoch   2 | Batch   37/44 | Loss 0.155720 | LR 8.00e-04 | Uncond: 2/38
Epoch   2 | Batch   38/44 | Loss 0.182985 | LR 8.00e-04 | Uncond: 2/39
Epoch   2 | Batch   39/44 | Loss 0.171022 | LR 8.00e-04 | Uncond: 2/40
Epoch   2 | Batch   40/44 | Loss 0.198943 | LR 8.00e-04 | Uncond: 2/41
Epoch   2 | Batch   41/44 | Loss 0.165636 | LR 8.00e-04 | Uncond: 2/42
Epoch   2 | Batch   42/44 | Loss 0.177777 | LR 8.00e-04 | Uncond: 2/43
Epoch   2 | Batch   43/44 | Loss 0.136508 | LR 8.00e-04 | Uncond: 2/44
Epoch   2 | Batch   44/44 | Loss 0.168927 | LR 8.00e-04 | Uncond: 2/45
>>> Epoch   2 Avg Train Loss: 0.191403
============================================================
Epoch   3 | Batch    0/44 | Loss 0.236632 | LR 8.00e-04 | Uncond: 0/1
Epoch   3 | Batch    1/44 | Loss 0.120523 | LR 8.00e-04 | Uncond: 0/2
Epoch   3 | Batch    2/44 | Loss 0.176318 | LR 8.00e-04 | Uncond: 0/3
Epoch   3 | Batch    3/44 | Loss 0.108077 | LR 8.00e-04 | Uncond: 0/4
Epoch   3 | Batch    4/44 | Loss 0.173115 | LR 8.00e-04 | Uncond: 0/5
Epoch   3 | Batch    5/44 | Loss 0.145895 | LR 8.00e-04 | Uncond: 1/6
Epoch   3 | Batch    6/44 | Loss 0.115977 | LR 8.00e-04 | Uncond: 1/7
Epoch   3 | Batch    7/44 | Loss 0.200391 | LR 8.00e-04 | Uncond: 1/8
Epoch   3 | Batch    8/44 | Loss 0.118412 | LR 8.00e-04 | Uncond: 2/9
Epoch   3 | Batch    9/44 | Loss 0.165119 | LR 8.00e-04 | Uncond: 2/10
Epoch   3 | Batch   10/44 | Loss 0.166240 | LR 8.00e-04 | Uncond: 2/11
Epoch   3 | Batch   11/44 | Loss 0.168070 | LR 8.00e-04 | Uncond: 2/12
Epoch   3 | Batch   12/44 | Loss 0.173146 | LR 8.00e-04 | Uncond: 2/13
Epoch   3 | Batch   13/44 | Loss 0.189215 | LR 8.00e-04 | Uncond: 2/14
Epoch   3 | Batch   14/44 | Loss 0.119873 | LR 8.00e-04 | Uncond: 2/15
Epoch   3 | Batch   15/44 | Loss 0.119630 | LR 8.00e-04 | Uncond: 2/16
Epoch   3 | Batch   16/44 | Loss 0.121703 | LR 8.00e-04 | Uncond: 2/17
Epoch   3 | Batch   17/44 | Loss 0.183537 | LR 8.00e-04 | Uncond: 2/18
Epoch   3 | Batch   18/44 | Loss 0.108229 | LR 8.00e-04 | Uncond: 2/19
Epoch   3 | Batch   19/44 | Loss 0.201415 | LR 8.00e-04 | Uncond: 2/20
Epoch   3 | Batch   20/44 | Loss 0.133677 | LR 8.00e-04 | Uncond: 3/21
Epoch   3 | Batch   21/44 | Loss 0.204813 | LR 8.00e-04 | Uncond: 3/22
Epoch   3 | Batch   22/44 | Loss 0.216368 | LR 8.00e-04 | Uncond: 4/23
Epoch   3 | Batch   23/44 | Loss 0.166778 | LR 8.00e-04 | Uncond: 4/24
Epoch   3 | Batch   24/44 | Loss 0.154679 | LR 8.00e-04 | Uncond: 4/25
Epoch   3 | Batch   25/44 | Loss 0.113971 | LR 8.00e-04 | Uncond: 4/26
Epoch   3 | Batch   26/44 | Loss 0.122558 | LR 8.00e-04 | Uncond: 4/27
Epoch   3 | Batch   27/44 | Loss 0.115639 | LR 8.00e-04 | Uncond: 4/28
Epoch   3 | Batch   28/44 | Loss 0.152747 | LR 8.00e-04 | Uncond: 4/29
Epoch   3 | Batch   29/44 | Loss 0.162098 | LR 8.00e-04 | Uncond: 4/30
Epoch   3 | Batch   30/44 | Loss 0.185292 | LR 8.00e-04 | Uncond: 4/31
Epoch   3 | Batch   31/44 | Loss 0.149224 | LR 8.00e-04 | Uncond: 4/32
Epoch   3 | Batch   32/44 | Loss 0.148803 | LR 8.00e-04 | Uncond: 5/33
Epoch   3 | Batch   33/44 | Loss 0.095062 | LR 8.00e-04 | Uncond: 6/34
Epoch   3 | Batch   34/44 | Loss 0.176460 | LR 8.00e-04 | Uncond: 6/35
Epoch   3 | Batch   35/44 | Loss 0.140904 | LR 8.00e-04 | Uncond: 6/36
Epoch   3 | Batch   36/44 | Loss 0.132844 | LR 8.00e-04 | Uncond: 6/37
Epoch   3 | Batch   37/44 | Loss 0.115616 | LR 8.00e-04 | Uncond: 6/38
Epoch   3 | Batch   38/44 | Loss 0.187464 | LR 8.00e-04 | Uncond: 6/39
Epoch   3 | Batch   39/44 | Loss 0.124763 | LR 8.00e-04 | Uncond: 6/40
Epoch   3 | Batch   40/44 | Loss 0.142298 | LR 8.00e-04 | Uncond: 6/41
Epoch   3 | Batch   41/44 | Loss 0.111818 | LR 8.00e-04 | Uncond: 6/42
Epoch   3 | Batch   42/44 | Loss 0.243439 | LR 8.00e-04 | Uncond: 6/43
Epoch   3 | Batch   43/44 | Loss 0.172411 | LR 8.00e-04 | Uncond: 7/44
Epoch   3 | Batch   44/44 | Loss 0.163989 | LR 8.00e-04 | Uncond: 7/45
>>> Epoch   3 Avg Train Loss: 0.154338
============================================================
Epoch   4 | Batch    0/44 | Loss 0.120687 | LR 8.00e-04 | Uncond: 0/1
Epoch   4 | Batch    1/44 | Loss 0.157074 | LR 8.00e-04 | Uncond: 0/2
Epoch   4 | Batch    2/44 | Loss 0.185930 | LR 8.00e-04 | Uncond: 0/3
Epoch   4 | Batch    3/44 | Loss 0.120975 | LR 8.00e-04 | Uncond: 0/4
Epoch   4 | Batch    4/44 | Loss 0.168377 | LR 8.00e-04 | Uncond: 1/5
Epoch   4 | Batch    5/44 | Loss 0.123724 | LR 8.00e-04 | Uncond: 1/6
Epoch   4 | Batch    6/44 | Loss 0.132946 | LR 8.00e-04 | Uncond: 1/7
Epoch   4 | Batch    7/44 | Loss 0.117107 | LR 8.00e-04 | Uncond: 1/8
Epoch   4 | Batch    8/44 | Loss 0.168771 | LR 8.00e-04 | Uncond: 1/9
Epoch   4 | Batch    9/44 | Loss 0.113544 | LR 8.00e-04 | Uncond: 2/10
Epoch   4 | Batch   10/44 | Loss 0.140089 | LR 8.00e-04 | Uncond: 2/11
Epoch   4 | Batch   11/44 | Loss 0.200580 | LR 8.00e-04 | Uncond: 2/12
Epoch   4 | Batch   12/44 | Loss 0.181135 | LR 8.00e-04 | Uncond: 2/13
Epoch   4 | Batch   13/44 | Loss 0.117815 | LR 8.00e-04 | Uncond: 2/14
Epoch   4 | Batch   14/44 | Loss 0.103035 | LR 8.00e-04 | Uncond: 2/15
Epoch   4 | Batch   15/44 | Loss 0.148321 | LR 8.00e-04 | Uncond: 2/16
Epoch   4 | Batch   16/44 | Loss 0.128310 | LR 8.00e-04 | Uncond: 3/17
Epoch   4 | Batch   17/44 | Loss 0.138139 | LR 8.00e-04 | Uncond: 3/18
Epoch   4 | Batch   18/44 | Loss 0.154961 | LR 8.00e-04 | Uncond: 3/19
Epoch   4 | Batch   19/44 | Loss 0.119384 | LR 8.00e-04 | Uncond: 3/20
Epoch   4 | Batch   20/44 | Loss 0.132913 | LR 8.00e-04 | Uncond: 3/21
Epoch   4 | Batch   21/44 | Loss 0.154789 | LR 8.00e-04 | Uncond: 3/22
Epoch   4 | Batch   22/44 | Loss 0.122376 | LR 8.00e-04 | Uncond: 3/23
Epoch   4 | Batch   23/44 | Loss 0.112316 | LR 8.00e-04 | Uncond: 3/24
Epoch   4 | Batch   24/44 | Loss 0.092179 | LR 8.00e-04 | Uncond: 3/25
Epoch   4 | Batch   25/44 | Loss 0.188231 | LR 8.00e-04 | Uncond: 3/26
Epoch   4 | Batch   26/44 | Loss 0.132194 | LR 8.00e-04 | Uncond: 4/27
Epoch   4 | Batch   27/44 | Loss 0.150979 | LR 8.00e-04 | Uncond: 4/28
Epoch   4 | Batch   28/44 | Loss 0.161462 | LR 8.00e-04 | Uncond: 4/29
Epoch   4 | Batch   29/44 | Loss 0.142299 | LR 8.00e-04 | Uncond: 4/30
Epoch   4 | Batch   30/44 | Loss 0.112324 | LR 8.00e-04 | Uncond: 4/31
Epoch   4 | Batch   31/44 | Loss 0.111276 | LR 8.00e-04 | Uncond: 4/32
Epoch   4 | Batch   32/44 | Loss 0.165219 | LR 8.00e-04 | Uncond: 4/33
Epoch   4 | Batch   33/44 | Loss 0.137594 | LR 8.00e-04 | Uncond: 4/34
Epoch   4 | Batch   34/44 | Loss 0.149874 | LR 8.00e-04 | Uncond: 4/35
Epoch   4 | Batch   35/44 | Loss 0.152975 | LR 8.00e-04 | Uncond: 5/36
Epoch   4 | Batch   36/44 | Loss 0.125405 | LR 8.00e-04 | Uncond: 5/37
Epoch   4 | Batch   37/44 | Loss 0.159378 | LR 8.00e-04 | Uncond: 5/38
Epoch   4 | Batch   38/44 | Loss 0.099057 | LR 8.00e-04 | Uncond: 5/39
Epoch   4 | Batch   39/44 | Loss 0.139108 | LR 8.00e-04 | Uncond: 5/40
Epoch   4 | Batch   40/44 | Loss 0.123984 | LR 8.00e-04 | Uncond: 5/41
Epoch   4 | Batch   41/44 | Loss 0.144689 | LR 8.00e-04 | Uncond: 5/42
Epoch   4 | Batch   42/44 | Loss 0.092426 | LR 8.00e-04 | Uncond: 5/43
Epoch   4 | Batch   43/44 | Loss 0.109041 | LR 8.00e-04 | Uncond: 5/44
Epoch   4 | Batch   44/44 | Loss 0.130078 | LR 8.00e-04 | Uncond: 5/45
>>> Epoch   4 Avg Train Loss: 0.137402
Running validation...
    Val Loss: 0.141282
    Val Loss t=100: 0.368294
    Val Loss t=300: 0.143382
    Val Loss t=500: 0.067756
    Val Loss t=800: 0.023086
    ✓ New best model saved! Val loss: 0.141282
============================================================
Epoch   5 | Batch    0/44 | Loss 0.086406 | LR 8.00e-04 | Uncond: 0/1
Epoch   5 | Batch    1/44 | Loss 0.203241 | LR 8.00e-04 | Uncond: 0/2
Epoch   5 | Batch    2/44 | Loss 0.216504 | LR 8.00e-04 | Uncond: 0/3
Epoch   5 | Batch    3/44 | Loss 0.090382 | LR 8.00e-04 | Uncond: 0/4
Epoch   5 | Batch    4/44 | Loss 0.130094 | LR 8.00e-04 | Uncond: 0/5
Epoch   5 | Batch    5/44 | Loss 0.106314 | LR 8.00e-04 | Uncond: 0/6
Epoch   5 | Batch    6/44 | Loss 0.138556 | LR 8.00e-04 | Uncond: 0/7
Epoch   5 | Batch    7/44 | Loss 0.172372 | LR 8.00e-04 | Uncond: 0/8
Epoch   5 | Batch    8/44 | Loss 0.131805 | LR 8.00e-04 | Uncond: 0/9
Epoch   5 | Batch    9/44 | Loss 0.118570 | LR 8.00e-04 | Uncond: 0/10
Epoch   5 | Batch   10/44 | Loss 0.106055 | LR 8.00e-04 | Uncond: 0/11
Epoch   5 | Batch   11/44 | Loss 0.206069 | LR 8.00e-04 | Uncond: 0/12
Epoch   5 | Batch   12/44 | Loss 0.125542 | LR 8.00e-04 | Uncond: 1/13
Epoch   5 | Batch   13/44 | Loss 0.144760 | LR 8.00e-04 | Uncond: 1/14
Epoch   5 | Batch   14/44 | Loss 0.181891 | LR 8.00e-04 | Uncond: 1/15
Epoch   5 | Batch   15/44 | Loss 0.176473 | LR 8.00e-04 | Uncond: 1/16
Epoch   5 | Batch   16/44 | Loss 0.145869 | LR 8.00e-04 | Uncond: 1/17
Epoch   5 | Batch   17/44 | Loss 0.153342 | LR 8.00e-04 | Uncond: 1/18
Epoch   5 | Batch   18/44 | Loss 0.137671 | LR 8.00e-04 | Uncond: 1/19
Epoch   5 | Batch   19/44 | Loss 0.103606 | LR 8.00e-04 | Uncond: 2/20
Epoch   5 | Batch   20/44 | Loss 0.151714 | LR 8.00e-04 | Uncond: 3/21
Epoch   5 | Batch   21/44 | Loss 0.060036 | LR 8.00e-04 | Uncond: 3/22
Epoch   5 | Batch   22/44 | Loss 0.113631 | LR 8.00e-04 | Uncond: 3/23
Epoch   5 | Batch   23/44 | Loss 0.156010 | LR 8.00e-04 | Uncond: 3/24
Epoch   5 | Batch   24/44 | Loss 0.134310 | LR 8.00e-04 | Uncond: 3/25
Epoch   5 | Batch   25/44 | Loss 0.131636 | LR 8.00e-04 | Uncond: 3/26
Epoch   5 | Batch   26/44 | Loss 0.082597 | LR 8.00e-04 | Uncond: 3/27
Epoch   5 | Batch   27/44 | Loss 0.095972 | LR 8.00e-04 | Uncond: 3/28
Epoch   5 | Batch   28/44 | Loss 0.088726 | LR 8.00e-04 | Uncond: 3/29
Epoch   5 | Batch   29/44 | Loss 0.186502 | LR 8.00e-04 | Uncond: 3/30
Epoch   5 | Batch   30/44 | Loss 0.123857 | LR 8.00e-04 | Uncond: 3/31
Epoch   5 | Batch   31/44 | Loss 0.166597 | LR 8.00e-04 | Uncond: 3/32
Epoch   5 | Batch   32/44 | Loss 0.148348 | LR 8.00e-04 | Uncond: 4/33
Epoch   5 | Batch   33/44 | Loss 0.166146 | LR 8.00e-04 | Uncond: 4/34
Epoch   5 | Batch   34/44 | Loss 0.128670 | LR 8.00e-04 | Uncond: 4/35
Epoch   5 | Batch   35/44 | Loss 0.139366 | LR 8.00e-04 | Uncond: 5/36
Epoch   5 | Batch   36/44 | Loss 0.139468 | LR 8.00e-04 | Uncond: 5/37
Epoch   5 | Batch   37/44 | Loss 0.141500 | LR 8.00e-04 | Uncond: 5/38
Epoch   5 | Batch   38/44 | Loss 0.146786 | LR 8.00e-04 | Uncond: 5/39
Epoch   5 | Batch   39/44 | Loss 0.143871 | LR 8.00e-04 | Uncond: 5/40
Epoch   5 | Batch   40/44 | Loss 0.101436 | LR 8.00e-04 | Uncond: 5/41
Epoch   5 | Batch   41/44 | Loss 0.159340 | LR 8.00e-04 | Uncond: 5/42
Epoch   5 | Batch   42/44 | Loss 0.134795 | LR 8.00e-04 | Uncond: 5/43
Epoch   5 | Batch   43/44 | Loss 0.233751 | LR 8.00e-04 | Uncond: 5/44
Epoch   5 | Batch   44/44 | Loss 0.113251 | LR 8.00e-04 | Uncond: 5/45
>>> Epoch   5 Avg Train Loss: 0.139196
============================================================
Epoch   6 | Batch    0/44 | Loss 0.157700 | LR 8.00e-04 | Uncond: 0/1
Epoch   6 | Batch    1/44 | Loss 0.095561 | LR 8.00e-04 | Uncond: 0/2
Epoch   6 | Batch    2/44 | Loss 0.091618 | LR 8.00e-04 | Uncond: 0/3
Epoch   6 | Batch    3/44 | Loss 0.118107 | LR 8.00e-04 | Uncond: 0/4
Epoch   6 | Batch    4/44 | Loss 0.097291 | LR 8.00e-04 | Uncond: 0/5
Epoch   6 | Batch    5/44 | Loss 0.096908 | LR 8.00e-04 | Uncond: 0/6
Epoch   6 | Batch    6/44 | Loss 0.131076 | LR 8.00e-04 | Uncond: 0/7
Epoch   6 | Batch    7/44 | Loss 0.164764 | LR 8.00e-04 | Uncond: 0/8
